key,sequence-number,instantiation-moment,message,info,key:help-request
follow-up-001,AAA-001:0001,2022/11/06 18:00,This is a follow-up,null,help-request-01
follow-up-002,AAA-002:A:0002,2020/11/29 08:00,Lorem ipsum dolor sit amet consectetur adipiscing elit. Phasellus tempor lorem et posuere congue dui sem eleifend nunc et faucibus diam risus vel quam. Suspendisse interdum erat id pellentesque scelerisque. Phasellus congue magna in ante aliquam donec.,http://example.com,help-request-02
follow-up-003,AAA-003:AB:0003,2022/11/01 14:00,This is a follow-up,http://example.com,help-request-03
follow-up-004,AAA-004:ABC:0004,2022/11/02 00:00,This is a follow-up,null,help-request-04
follow-up-005,AAA-005:ABCDEFGHIJ:0005,2021/05/29 18:00,Lorem ipsum dolor sit amet consectetur adipiscing elit. Phasellus tempor lorem et posuere congue dui sem eleifend nunc et faucibus diam risus vel quam. Suspendisse interdum erat id pellentesque scelerisque. Phasellus congue magna in ante aliquam donec.,http://example.com,help-request-05
follow-up-006,AAA-006:AA:9999,2010/08/12 09:00,Lorem ipsum dolor sit amet consectetur adipiscing elit. Phasellus tempor lorem et posuere congue dui sem eleifend nunc et faucibus diam risus vel quam. Suspendisse interdum erat id pellentesque scelerisque. Phasellus congue magna in ante aliquam donec.,null,help-request-06
follow-up-007,AAA-007:00000,1990/08/29 18:00,This is a follow-up,http://example.com,help-request-07
follow-up-008,AAA-008:00001,1900/01/01 00:00,Lorem ipsum dolor sit amet consectetur adipiscing elit. Phasellus tempor lorem et posuere congue dui sem eleifend nunc et faucibus diam risus vel quam. Suspendisse interdum erat id pellentesque scelerisque. Phasellus congue magna in ante aliquam donec.,http://example.com,help-request-08
follow-up-009,AAA-009:99999,2000/01/01 00:00,Lorem ipsum dolor sit amet consectetur adipiscing elit. Phasellus tempor lorem et posuere congue dui sem eleifend nunc et faucibus diam risus vel quam. Suspendisse interdum erat id pellentesque scelerisque. Phasellus congue magna in ante aliquam donec.,null,help-request-09
follow-up-010,AAA-010:A:000000,1999/12/31 23:59,This is a follow-up,null,help-request-10
follow-up-011,AAA-011:B:000001,2016/10/30 06:30,Lorem ipsum dolor sit amet consectetur adipiscing elit. Phasellus tempor lorem et posuere congue dui sem eleifend nunc et faucibus diam risus vel quam. Suspendisse interdum erat id pellentesque scelerisque. Phasellus congue magna in ante aliquam donec.,null,help-request-11
follow-up-012,AAA-012:BB:999999,2022/08/29 18:00,This is a follow-up,http://example.com,help-request-12